통계표코드,통계명,통계항목코드1,통계항목명1,통계항목코드2,통계항목명2,통계항목코드3,통계항목명3,통계항목코드4,통계항목명4,단위,WGT,시점,값
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080820,5.23
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080821,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080822,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080825,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080826,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080827,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080828,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080829,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080901,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080902,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080903,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080904,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080905,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080908,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080909,5.28
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080910,5.22
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080911,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080912,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080916,5.23
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080917,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080918,5.12
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080919,5.07
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080922,4.95
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080923,4.8
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080924,4.86
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080925,5.23
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080926,5.23
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080929,5.22
